date,population,admission,release
2020-05-26,99438.4646905858,1558.8890038240077,2495.682062556653
2020-05-27,99031.581480338,2042.8183881033917,2013.9400356021265
2020-05-28,98965.40307064913,1974.9539336056039,2278.7941564812472
2020-05-29,98812.94037857605,2126.188607265278,2178.437013624104
2020-05-30,98783.66816269337,2148.998131074801,1098.5203469574378
2020-05-31,99389.99594681076,1704.8481310748016,1196.0679660050566
2020-06-01,99767.58563569002,1572.9909882176585,2542.61533442611
2020-06-02,99078.22795614824,1853.7687659954363,2182.4812435170184
2020-06-03,98787.16825640442,1898.7613165004868,2457.622639620915
2020-06-04,98555.4001151022,2166.052792800272,1928.8881780435368
2020-06-05,98513.73426319374,1888.6071746199216,2166.4873122426707
2020-06-06,98716.31126842812,2370.1309841437314,1051.9922073475661
2020-06-07,99363.53862331288,1699.2195622323095,1217.4445882999469
